commitment,commitment_key,cost_type,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-08-05-10-43-55-091,AWS#AmazonRDS-Database Instance#eu-west-3#r5#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,539.7839999999974,357.10199999999975,182.68199999999763,0.33843537414965713
arn:aws:rds:eu-west-3:662505700522:ri:ri-2024-12-18-00-19-16-764,AWS#AmazonRDS-Database Instance#eu-west-3#t3#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,597.8564999999766,419.73119999998744,178.12529999998912,0.29793989025794
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-west-1#g5.4xlarge#RunInstances#shared,Usage with Discount,380.2003898647001,205.3082524764001,174.89213738830003,0.4599998896648632
arn:aws:savingsplans::527480136527:savingsplan/cac09992-4bf9-3209-ef4b-59df8b3feb5a,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,467.7601430535965,294.3570000003987,173.40314305319777,0.3707095305752227
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-3#c5a#RunInstances#shared,Usage with Discount,339.15853460089977,188.68022872660018,150.4783058742996,0.4436813186829366
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-central-1#m5#RunInstances#shared,Usage with Discount,367.1551988845,221.88994629160004,145.26525259289997,0.3956508120659831
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-central-1#m5a#RunInstances#shared,Usage with Discount,335.32566847399994,201.92086527140003,133.4048032025999,0.39783653846035255
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,307.55848723559996,175.7477069855998,131.81078025000016,0.42857142859149505
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,307.40863031329945,175.66207446480013,131.74655584849933,0.42857142857124125
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,306.9147812842014,179.23042209029956,127.68435919390186,0.41602544738849456
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-04-06-12-21-55-317,AWS#AmazonRDS-Database Instance#eu-west-3#m5#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,396.3440000000038,274.65100000000064,121.69300000000317,0.30703883495146134
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute,Usage with Discount,279.32927858660025,167.2349782278001,112.09430035880015,0.4012980698836683
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,247.86174680130023,144.70629095389992,103.1554558474003,0.4161814284722824
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,227.8830272473003,130.21887270659988,97.66415454070042,0.42857142859838604
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#t3#RunInstances#shared,Usage with Discount,232.616607122901,136.79552674800058,95.82108037490042,0.4119270827653082
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-1#g5.4xlarge#RunInstances#shared,Usage with Discount,183.5410729866,99.112199661,84.4288733256,0.45999988968008265
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,187.42252814929998,106.75355340480003,80.66897474449995,0.43041237113309766
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,193.76605587899877,113.87370821249955,79.89234766649922,0.41231343283567506
arn:aws:savingsplans::527480136527:savingsplan/a9d1bd04-6131-0469-3864-4b0a53404d40,AWS#Compute-EC2#eu-west-3#r5a#RunInstances#shared,Usage with Discount,214.0688596837005,134.79899999999932,79.26985968370118,0.3703007518273658
No Commitment,AWS#Compute,On Demand Usage,46546.82209977056,46471.28861975969,75.53348001086852,0.0016227419317470621
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,157.19501704739972,91.91912013790007,65.27589690949965,0.41525423728804783
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,AWS#Compute-EC2#eu-central-1#m5#RunInstances#shared,Usage with Discount,141.59714200330006,85.57392494999999,56.02321705330007,0.39565217391177565
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-central-1#t3#RunInstances#shared,Usage with Discount,134.77366596460038,79.26992551410002,55.50374045050036,0.4118292698595804
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-central-1#t4g#RunInstances#shared,Usage with Discount,131.51193109079955,77.1028931362979,54.409037954501656,0.41371940555671805
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,117.60679133829976,68.77007291110004,48.83671842719971,0.4152542372040345
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,113.05854549059876,64.53956465320019,48.51898083739857,0.42914916892711225
arn:aws:rds:eu-west-3:527480136527:ri:ri-2025-05-07-19-33-37-706,AWS#AmazonRDS-Database Instance#eu-west-3#t3#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,157.76800000000108,110.822400000001,46.945600000000084,0.2975609756097546
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,110.38059136959968,64.86919082350005,45.51140054609964,0.412313432836292
arn:aws:rds:eu-west-3:662505700522:ri:ri-2020-12-12-17-00-30-177,AWS#AmazonRDS-Database Instance#eu-west-3#t3#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,146.03849999999923,101.3471999999966,44.69130000000263,0.3060240963855618
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute,Usage with Discount,109.78760710010062,66.55210196820008,43.23550513190054,0.3938104333805169
