commitment_per_hour,total_savings_dollars,total_unused_commitment_waste,total_consumed_commitment,total_paid_commitment,total_eligible_on_demand_cost,total_covered_on_demand_cost,effective_savings_rate,coverage_rate,average_utilization
14.606087008467785,26788.324614496,0.0,32250.24011469834,32250.24011469687,95350.76545173008,59038.564729192854,0.2809450400065975,0.6191724256170786,1.0000000000000455
14.710979483756997,26958.50957347198,0.0,32481.842700133955,32481.84270013545,95350.76545173008,59440.35227360744,0.28272987055483395,0.6233862097698444,0.9999999999999539
14.82270112638585,27139.33971633158,0.0,32728.524087058544,32728.524087059955,95350.76545173008,59867.86380339146,0.28462634345678606,0.6278697766060272,0.9999999999999569
14.901448509901638,27266.41867142237,0.0,32902.39830986446,32902.398309862816,95350.76545173008,60168.8169812851,0.2859590957895937,0.6310260509837718,1.00000000000005
14.973814064131908,27382.88493898011,0.0,33062.18145360212,33062.181453603254,95350.76545173008,60445.06639258347,0.2871805465771776,0.6339232423171567,0.9999999999999657
15.047161531644196,27500.633580559166,0.0,33224.13266187164,33224.13266187038,95350.76545173008,60724.7662424296,0.28841544638129785,0.6368566204449676,1.000000000000038
15.118114025514211,27614.26619249477,0.0,33380.79576833486,33380.79576833538,95350.76545173008,60995.061960830135,0.2896071789426178,0.6396913718716604,0.9999999999999843
15.178337667789714,27710.48344927479,0.0,33513.76957047887,33513.769570479686,95350.76545173008,61224.25301975461,0.29061626635082244,0.642095034368114,0.9999999999999757
15.236107309080364,27802.568928801662,0.0,33641.32493844837,33641.32493844944,95350.76545173008,61443.89386725108,0.29158202136170897,0.6443985381360797,0.9999999999999682
15.289907706644938,27888.116660847383,0.0,33760.116216270224,33760.11621627202,95350.76545173008,61648.23287711951,0.292479211139268,0.6465415624621075,0.9999999999999468
15.351022016140377,27985.0673339217,0.0,33895.05661163842,33895.05661163795,95350.76545173008,61880.12394555954,0.2934959903189107,0.6489735415588818,1.000000000000014
15.416968549999998,28089.490287973622,0.0,34040.666558398414,34040.66655839999,95350.76545173008,62130.156846373524,0.2945911357386377,0.6515957848060066,0.9999999999999536
15.47466673611079,28180.66286420331,0.0,34168.064153332125,34168.06415333262,95350.76545173008,62348.727017535966,0.2955473165914893,0.6538880597565742,0.9999999999999856
15.52590370833214,28261.45440810226,0.0,34281.195387995765,34281.195387997366,95350.76545173008,62542.64979609952,0.296394625404546,0.6559218428902998,0.9999999999999533
15.577139140858607,28342.063759036708,0.0,34394.32322301653,34394.3232230158,95350.76545173008,62736.38698205249,0.29724002345198225,0.6579536796043013,1.000000000000021
15.631769753432515,28427.791704312487,0.0,34514.947615578574,34514.947615578996,95350.76545173008,62942.739319891465,0.29813910323251297,0.660117818894231,0.9999999999999878
15.688792619444715,28517.08403164511,0.0,34640.854103732716,34640.85410373393,95350.76545173008,63157.938135379,0.29907556480059366,0.6623747364393396,0.9999999999999649
15.748230522223365,28609.96737466606,0.0,34772.09299306772,34772.092993069185,95350.76545173008,63382.060367735285,0.3000496874789058,0.6647252391468375,0.9999999999999579
15.798966736110788,28689.081529280265,0.0,34884.118553332526,34884.11855333262,95350.76545173008,63573.20008261296,0.30087940451619855,0.6667298346419248,0.9999999999999973
15.84734697956238,28764.353767881476,0.0,34990.9421308726,34990.94213087374,95350.76545173008,63755.29589875523,0.3016688291028246,0.6686395814098671,0.9999999999999676
15.893349745555504,28835.75427135571,0.0,35092.51623818647,35092.51623818655,95350.76545173008,63928.2705095422,0.30241764850805924,0.6704536686903152,0.9999999999999977
15.948593820656352,28921.311103965894,0.0,35214.49515600899,35214.49515600922,95350.76545173008,64135.80625997523,0.30331493372863255,0.6726302191296307,0.9999999999999933
16.0053011099683,29008.964021284417,0.0,35339.70485081113,35339.704850810005,95350.76545173008,64348.66887209434,0.30423420183207417,0.6748626355251433,1.000000000000032
16.0644172494,29100.14399408807,0.0,35470.23328667427,35470.233286675204,95350.76545173008,64570.377280763445,0.30519046025718155,0.67718782303275,0.9999999999999738
16.1208815415622,29187.02931801402,0.0,35594.90644377,35594.90644376933,95350.76545173008,64781.93576178333,0.3061016781536958,0.6794065622323529,1.0000000000000189
16.173680578253865,29268.064608329056,0.0,35711.48671678368,35711.48671678454,95350.76545173008,64979.55132511359,0.3069515432799077,0.6814790737889622,0.9999999999999759
16.23301243540201,29358.868276993242,0.0,35842.491457366945,35842.491457367636,95350.76545173008,65201.35973436085,0.3079038551804362,0.683805310061911,0.9999999999999807
16.30165948487991,29463.619276885653,0.0,35994.06414261637,35994.06414261484,95350.76545173008,65457.683419500514,0.30900244101135377,0.6864935284933554,1.0000000000000424
16.37747620616233,29578.989211161825,0.0,36161.46746320676,36161.46746320643,95350.76545173008,65740.4566743683,0.31021239390192157,0.6894591392415033,1.0000000000000093
16.43914531377849,29672.549016314635,0.0,36297.63285282395,36297.632852822906,95350.76545173008,65970.18186913745,0.3111936110396085,0.691868403537189,1.0000000000000286
16.506413630555507,29774.266564266865,0.0,36446.161296267295,36446.16129626656,95350.76545173008,66220.42786053344,0.3122603832618381,0.6944928815915647,1.0000000000000202
16.58733060651225,29896.29203260016,0.0,36624.82597917759,36624.82597917905,95350.76545173008,66521.11801177928,0.31354013668337793,0.6976463974529351,0.9999999999999603
16.677975302873364,30032.64100542204,0.0,36824.9694687462,36824.969468744384,95350.76545173008,66857.61047416643,0.31497010918727886,0.7011753933743942,1.0000000000000493
16.7830072836805,30190.257710766473,0.0,37056.88008236653,37056.880082366544,95350.76545173008,67247.1377931332,0.31662312900938216,0.7052605972751846,0.9999999999999996
16.88141428535714,30337.572212069015,0.0,37274.162742070715,37274.16274206856,95350.76545173008,67611.73495413756,0.3181681035106841,0.7090843438311463,1.0000000000000577
16.995398746896075,30507.899773885587,0.0,37525.840433145495,37525.840433146535,95350.76545173008,68033.74020703204,0.319954429619443,0.7135101630775383,0.9999999999999722
17.130377152691608,30709.35504001926,0.0,37823.87275314305,37823.87275314307,95350.76545173008,68533.22779316243,0.3220672104154782,0.7187485854831062,0.9999999999999994
17.206917652564997,30823.507042045283,0.0,37992.874176863406,37992.874176863515,95350.76545173008,68816.38121890886,0.32326439012856406,0.7217181833086189,0.9999999999999971
17.28405601254495,30938.49830297347,0.0,38163.19567569908,38163.19567569925,95350.76545173008,69101.6939786728,0.32447037164725884,0.7247104273499987,0.9999999999999954
17.384644275830293,31088.369745716853,0.0,38385.29456103193,38385.29456103329,95350.76545173008,69473.66430674997,0.3260421623091729,0.7286115006797715,0.9999999999999646
17.469016497776632,31214.007757422583,0.0,38571.588427091665,38571.58842709081,95350.76545173008,69785.5961845135,0.3273598026145287,0.731882915191084,1.0000000000000222
17.54913873570022,31333.22216181791,0.0,38748.49832842644,38748.49832842609,95350.76545173008,70081.72049024423,0.3286100747421885,0.7349885463239628,1.000000000000009
17.634983958222325,31460.82595657637,0.0,38938.044579755144,38938.0445797549,95350.76545173008,70398.87053633132,0.32994833137970925,0.7383146868597474,1.0000000000000064
17.718524410071712,31584.859489253555,0.0,39122.50189743823,39122.50189743834,95350.76545173008,70707.3613866919,0.3312491445623782,0.7415500132768883,0.9999999999999972
17.79207955929006,31693.93942592116,0.0,39284.91166691249,39284.91166691245,95350.76545173008,70978.85109283378,0.33239313051939523,0.744397286760805,1.000000000000001
17.874197782757765,31815.55746935362,0.0,39466.228704331195,39466.22870432914,95350.76545173008,71281.7861736828,0.33366861103448375,0.7475743465296895,1.000000000000052
17.95973382870052,31942.081666423503,0.0,39655.09229377133,39655.09229377075,95350.76545173008,71597.1739601943,0.3349955452910728,0.75088200520466,1.0000000000000147
18.057181961300568,32086.055719045173,0.0,39870.25777055229,39870.25777055165,95350.76545173008,71956.31348959678,0.33650548652688334,0.7546485143427989,1.000000000000016
18.151728728147294,32225.60721841653,0.0,40079.017031747535,40079.01703174922,95350.76545173008,72304.62425016573,0.3379690458251252,0.7583014557630255,0.9999999999999579
18.246543800040865,32365.44000938131,0.0,40288.368710490926,40288.36871049023,95350.76545173008,72653.80871987154,0.3394355551950533,0.7619635602888941,1.0000000000000173
18.363815223233704,32538.26449336144,0.0,40547.30401289941,40547.30401290002,95350.76545173008,73085.5685062616,0.3412480680066848,0.7664916811104163,0.9999999999999849
18.443958938096785,32656.336418282917,0.0,40724.26133531837,40724.2613353177,95350.76545173008,73380.59775360067,0.34248635827485524,0.7695858277168054,1.0000000000000164
18.519972765522215,32768.302237425356,0.0,40892.09986627312,40892.09986627305,95350.76545173008,73660.40210369842,0.34366061019209987,0.7725203018007014,1.0000000000000018
18.656333958653395,32969.11054690745,0.0,41193.185380705654,41193.185380706695,95350.76545173008,74162.29592761418,0.34576660597022235,0.7777839598483113,0.9999999999999747
18.786652486184902,33161.004833499486,0.0,41480.92868949581,41480.928689496264,95350.76545173008,74641.93352299568,0.3477791151061787,0.7828142036340763,0.9999999999999891
18.935222673080037,33379.75833856273,0.0,41808.97166216016,41808.97166216072,95350.76545173008,75188.7300007235,0.35007331278804193,0.7885487824299291,0.9999999999999866
19.094392102649554,33614.114684934786,0.0,42160.41776264865,42160.41776265021,95350.76545173008,75774.5324475852,0.3525311467158744,0.7946924399463257,0.9999999999999629
19.253562895929125,33848.46414168792,0.0,42511.866874213025,42511.86687421151,95350.76545173008,76360.33101589943,0.3549889083881891,0.8008360567860959,1.0000000000000355
19.387361608874237,34045.45081830374,0.0,42807.29443239547,42807.294432394316,95350.76545173008,76852.74525069796,0.3570548244370282,0.8060002967632549,1.000000000000027
19.527519904644073,34251.793312481386,0.0,43116.76394945494,43116.763949454114,95350.76545173008,77368.55726193574,0.3592188604906465,0.8114099230918332,1.000000000000019
19.64936582174522,34431.17221157174,0.0,43385.79973441223,43385.79973441345,95350.76545173008,77816.97194598537,0.36110011333891195,0.8161127136979205,0.9999999999999718
19.768979434174923,34607.248728794206,0.0,43649.90659065635,43649.90659065823,95350.76545173008,78257.15531945259,0.36294673215091927,0.8207291776705151,0.9999999999999568
19.879468468465813,34769.89225556564,0.0,43893.86637837381,43893.86637837251,95350.76545173008,78663.75863393831,0.3646524712291626,0.8249934676587434,1.0000000000000295
19.97692511957753,34913.35140303379,0.0,44109.050664024755,44109.050664027185,95350.76545173008,79022.40206706098,0.3661570123493991,0.8287547739411164,0.9999999999999449
20.067600962062123,35046.82624317126,0.0,44309.26292423498,44309.26292423317,95350.76545173008,79356.0891674046,0.3675568421200897,0.8322543483678424,1.0000000000000409
20.16081581224448,35184.0385026397,0.0,44515.08131343694,44515.08131343581,95350.76545173008,79699.11981607553,0.3689958684227983,0.8358519141246121,1.0000000000000253
20.259318878281615,35329.03501584617,0.0,44732.57608324711,44732.5760832458,95350.76545173008,80061.61109909203,0.37051653280886326,0.8396535750897777,1.0000000000000293
20.344014341208236,35453.706737273846,0.0,44919.583665387494,44919.583665387785,95350.76545173008,80373.29040266144,0.3718240390552686,0.8429223407057936,0.9999999999999936
20.42006700541495,35565.65544071782,0.0,45087.507947955346,45087.50794795621,95350.76545173008,80653.16338867434,0.37299811147003753,0.8458575346152183,0.9999999999999808
20.50789144351611,35694.92951676988,0.0,45281.4243072812,45281.424307283574,95350.76545173008,80976.35382405354,0.3743538853376055,0.8492470242941744,0.9999999999999476
20.578260815130122,35798.50828488375,0.0,45436.79987980638,45436.79987980731,95350.76545173008,81235.30816469109,0.37544017727897755,0.8519628319692437,0.9999999999999795
